Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Home Page,50,265,64,1941,330.41,0.000%,4.97018,1483.46,0.57,305635.5
TOTAL,50,265,64,1941,330.41,0.000%,4.97018,1483.46,0.57,305635.5
